Altium Designer Pick and Place Locations
C:\Users\acampean\Carroll Biomedical\CarrollBiomedical - Documents\General\Projects\UM\UM-64NNP\V1\PCB\Output\Pick Place\Pick Place for UM-64NNP-V1 rev 0.18.txt

========================================================================================================================
File Design Information:

Date:       16-04-24
Time:       16:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Layer       Center-X(mil) Center-Y(mil) Rotation Description                                                                   
U15        BottomLayer 3626.238      2398.934      180      "Op Amp, Rail-to-Rail, 95kHz, WLCSP-6"                                        
U1         TopLayer    2197.434      2375.523      90       "Op Amp, Rail-to-Rail, 95kHz, WLCSP-6"                                        
U6         TopLayer    2316.610      2290.417      0        "LDO, 1-5.5V, ADJ, 150mA, TSOT-23-5"                                          
U3         TopLayer    2316.610      2146.312      0        "LDO, 1-5.5V, ADJ, 150mA, TSOT-23-5"                                          
C44        BottomLayer 2960.904      2142.535      0        "Capacitor, Ceramic, 4.7uF, X5R, 10V, 20%, 0402"                              
C838       BottomLayer 3949.508      2674.756      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C888       BottomLayer 3658.500      2187.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C887       BottomLayer 3658.500      2223.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C886       BottomLayer 3658.500      2259.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C885       BottomLayer 3658.500      2295.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C884       BottomLayer 3658.500      2152.071      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C883       BottomLayer 3546.504      2088.622      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C882       BottomLayer 3515.008      2088.622      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C881       BottomLayer 3483.512      2088.622      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C878       BottomLayer 3902.264      2110.904      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C877       BottomLayer 3933.760      2110.904      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C876       BottomLayer 3965.256      2110.904      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C875       BottomLayer 3949.508      2333.969      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C874       BottomLayer 3747.508      2169.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C873       BottomLayer 3747.508      2205.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C872       BottomLayer 3747.508      2241.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C871       BottomLayer 3747.508      2277.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C868       BottomLayer 4214.500      2187.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C867       BottomLayer 4214.500      2223.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C866       BottomLayer 4214.500      2259.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C865       BottomLayer 4214.500      2295.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C864       BottomLayer 4059.744      2110.904      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C858       BottomLayer 4527.092      2154.039      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C857       BottomLayer 4552.752      2207.756      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C856       BottomLayer 4552.752      2275.819      270      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C855       BottomLayer 4532.092      2328.969      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C853       BottomLayer 4303.508      2205.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C851       BottomLayer 4303.508      2277.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C43        BottomLayer 2902.771      2207.904      90       "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C28        BottomLayer 2772.849      2286.644      270      "Capacitor, Ceramic, 4.7uF, X5R, 10V, 20%, 0402"                              
C25        BottomLayer 2790.566      2231.526      180      "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C24        TopLayer    2679.345      2170.306      180      "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C16        BottomLayer 2853.558      2231.526      0        "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C12        BottomLayer 2853.558      2263.023      180      "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C8         BottomLayer 2961.826      2371.290      90       "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C42        TopLayer    3015.630      2251.986      270      "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C41        TopLayer    3015.630      2331.409      270      "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C40        BottomLayer 2934.267      2207.904      90       "Capacitor, Ceramic, 4.7uF, X5R, 10V, 20%, 0402"                              
C39        BottomLayer 2743.322      2198.062      90       "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C38        TopLayer    2616.353      2381.133      0        "Capacitor, Ceramic, 5.6pF, C0G, 50V, 10%, 0402"                              
C36        TopLayer    2695.093      2123.062      270      "Capacitor, Ceramic, 4.7uF, X5R, 10V, 20%, 0402"                              
C35        BottomLayer 2908.771      2286.644      270      "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C34        BottomLayer 2804.345      2286.644      270      "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C9         BottomLayer 2877.275      2310.267      90       "Capacitor, Ceramic, 0.1uF, X7R, 16V, 10%, 0402"                              
C15        TopLayer    2616.353      2318.140      0        "Capacitor, Ceramic, 5.6pF, C0G, 50V, 10%, 0402"                              
C863       BottomLayer 4028.248      2110.904      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C862       BottomLayer 3996.752      2110.904      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C861       BottomLayer 4012.519      2315.969      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C818       BottomLayer 4532.092      2675.039      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C813       BottomLayer 4303.508      2726.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C817       BottomLayer 4552.752      2728.189      90       "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C814       BottomLayer 4303.508      2690.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C816       BottomLayer 4552.752      2795.685      270      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C854       BottomLayer 4303.508      2169.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C815       BottomLayer 4532.092      2849.402      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C852       BottomLayer 4303.508      2241.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C811       BottomLayer 4303.508      2798.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C812       BottomLayer 4303.508      2763.071      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C848       BottomLayer 3658.500      2708.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C847       BottomLayer 3658.500      2744.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C846       BottomLayer 3658.500      2780.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C845       BottomLayer 3658.500      2816.504      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C844       BottomLayer 3658.500      2673.071      180      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C843       BottomLayer 3404.256      2795.748      270      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C842       BottomLayer 3404.256      2858.740      270      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C841       BottomLayer 3456.496      2891.937      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C837       BottomLayer 3949.508      2875.104      270      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C836       BottomLayer 3918.012      2875.104      270      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C835       BottomLayer 3886.516      2875.104      270      "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C834       BottomLayer 3747.508      2690.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
C833       BottomLayer 3747.508      2726.504      0        "Capacitor, Ceramic, 680pF, C0G, 100V, 5%, 0402"                              
